School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,type,state
Massachusetts Institute of Technology (MIT),Engineering,"$72,200.00 ","$126,000.00 ","$76,800.00 ","$99,200.00 ","$168,000.00 ","$220,000.00 ",private,MA
California Institute of Technology (CIT),Engineering,"$75,500.00 ","$123,000.00 ",,"$104,000.00 ","$161,000.00 ",,private,CA
Harvey Mudd College,Engineering,"$71,800.00 ","$122,000.00 ",,"$96,000.00 ","$180,000.00 ",,private,CA
"Polytechnic University of New York, Brooklyn",Engineering,"$62,400.00 ","$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 ",private,NY
Cooper Union,Engineering,"$62,200.00 ","$114,000.00 ",,"$80,200.00 ","$142,000.00 ",,private,NY
Worcester Polytechnic Institute (WPI),Engineering,"$61,000.00 ","$114,000.00 ","$80,000.00 ","$91,200.00 ","$137,000.00 ","$180,000.00 ",private,MA
Carnegie Mellon University (CMU),Engineering,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 ",private,PA
Rensselaer Polytechnic Institute (RPI),Engineering,"$61,100.00 ","$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 ",private,NY
Georgia Institute of Technology,Engineering,"$58,300.00 ","$106,000.00 ","$67,200.00 ","$85,200.00 ","$137,000.00 ","$183,000.00 ",public,GA
Colorado School of Mines,Engineering,"$58,100.00 ","$106,000.00 ","$62,200.00 ","$87,900.00 ","$142,000.00 ","$201,000.00 ",public,CO
Stevens Institute of Technology,Engineering,"$60,600.00 ","$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 ",private,NJ
Illinois Institute of Technology (IIT),Engineering,"$56,000.00 ","$97,800.00 ","$56,100.00 ","$77,400.00 ","$121,000.00 ","$165,000.00 ",private,IL
Wentworth Institute of Technology,Engineering,"$53,000.00 ","$96,700.00 ","$55,200.00 ","$74,000.00 ","$117,000.00 ","$153,000.00 ",private,MA
Virginia Polytechnic Institute and public (Virginia Tech),Engineering,"$53,500.00 ","$95,400.00 ","$50,600.00 ","$71,400.00 ","$124,000.00 ","$163,000.00 ",public,VA
South Dakota School of Mines & Technology,Engineering,"$55,800.00 ","$93,400.00 ","$71,500.00 ","$81,900.00 ","$122,000.00 ","$147,000.00 ",public,SD
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,"$51,000.00 ","$93,400.00 ",,"$67,400.00 ","$123,000.00 ",,public,NM
Rochester Institute of Technology (RIT),Engineering,"$48,900.00 ","$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 ",private,NY
Embry-Riddle Aeronautical University (ERAU),Engineering,"$52,700.00 ","$80,700.00 ","$49,800.00 ","$64,000.00 ","$106,000.00 ","$142,000.00 ",private,FL
Tennessee Technological University,Engineering,"$46,200.00 ","$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 ",public,TN
University of Illinois at Urbana-Champaign (UIUC),Party,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 ",public,IL
"University of Maryland, College Park",Party,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 ",public,MD
"University of California, Santa Barbara (UCSB)",Party,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 ",public,CA
University of Texas (UT) - Austin,Party,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 ",public,TX
public of New York (SUNY) at Albany,Party,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 ",public,NY
University of Florida (UF),Party,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 ",public,FL
Louisiana public (LSU),Party,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 ",public,LA
University of Georgia (UGA),Party,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 ",public,GA
Pennsylvania public (PSU),Party,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 ",public,PA
Arizona public (ASU),Party,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 ",public,DC
"Indiana University (IU), Bloomington",Party,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 ",public,IN
University of Iowa (UI),Party,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 ",public,IA
Randolph-Macon College,Party,"$42,600.00 ","$83,600.00 ",,"$54,100.00 ","$123,000.00 ",,private,VA
"University of Alabama, Tuscaloosa",Party,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 ",public,AL
University of Mississippi,Party,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 ",public,MS
University of New Hampshire (UNH),Party,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 ",public,NH
West Virginia University (WVU),Party,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 ",public,WV
University of Tennessee,Party,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 ",public,TN
Ohio University,Party,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 ",public,OH
Florida public (FSU),Party,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 ",public,FL
Bucknell University,Liberal Arts,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 ",private,PA
Colgate University,Liberal Arts,"$52,800.00 ","$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 ",private,NY
Amherst College,Liberal Arts,"$54,500.00 ","$107,000.00 ",,"$84,900.00 ","$162,000.00 ",,private,MA
Lafayette College,Liberal Arts,"$53,900.00 ","$107,000.00 ","$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 ",private,PA
Bowdoin College,Liberal Arts,"$48,100.00 ","$107,000.00 ",,"$74,600.00 ","$146,000.00 ",,private,ME
College of the Holy Cross,Liberal Arts,"$50,200.00 ","$106,000.00 ",,"$65,600.00 ","$143,000.00 ",,private,MA
Occidental College,Liberal Arts,"$51,900.00 ","$105,000.00 ",,"$54,800.00 ","$157,000.00 ",,private,CA
Washington and Lee University,Liberal Arts,"$53,600.00 ","$104,000.00 ",,"$82,800.00 ","$146,000.00 ",,private,VA
Swarthmore College,Liberal Arts,"$49,700.00 ","$104,000.00 ",,"$67,200.00 ","$167,000.00 ",,private,PA
